title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Sicario  ,2015,R,121," Action, Crime, Drama            ",7.6,82,    Denis Villeneuve  ,      Emily Blunt,   Josh Brolin,   Benicio Del Toro,   Jon Bernthal  ,374829,46890000
    Who Am I  ,2014,Not Rated,102," Crime, Drama, Mystery            ",7.6,0,    Baran  o Odar  ,         Tom Schilling,  Elyas M    Barek,     Wotan Wilke Mhring,     Antoine Monot Jr.    ,49675,0
    The Body  ,2012,0,112," Mystery, Thriller            ",7.6,0,    Oriol Paulo  ,      Jose Coronado,   Hugo Silva,   Beln Rueda,   Aura Garrido  ,58439,0
    Sherlock Holmes  ,2009,PG-13,128," Action, Adventure, Mystery            ",7.6,0,    Guy Ritchie  ,      Ro ert Downey Jr.,   Jude Law,   Rachel McAdams,   Mark Strong  ,585894,209030000
    Inside Man  ,2006,R,129," Crime, Drama, Mystery            ",7.6,76,    Spike Lee  ,      Denzel Washington,   Clive Owen,   Jodie Foster,   Christopher Plummer  ,342738,88510000
    Gone Ba y Gone  ,2007,R,114," Crime, Drama, Mystery            ",7.6,72,    Ben Affleck  ,      Morgan Freeman,   Ed Harris,   Casey Affleck,   Michelle Monaghan  ,252171,20300000
    The Illusionist  ,2006,PG-13,110," Drama, Fantasy, Mystery            ",7.6,68,    Neil Burger  ,      Edward Norton,   Jessica Biel,   Paul Giamatti,   Rufus Sewell  ,355968,39870000
    Harry Potter and the Half-Blood Prince  ,2009,PG,153," Action, Adventure, Family            ",7.6,78,    David Yates  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Michael Gam on  ,479096,301960000
    Watchmen  ,2009,R,162," Action, Drama, Mystery            ",7.6,0,    Zack Snyder  ,      Jackie Earle Haley,   Patrick Wilson,   Carla Gugino,   Malin Akerman  ,503815,107510000
    Saw  ,2004,R,103," Horror, Mystery, Thriller            ",7.6,0,    James Wan  ,      Cary Elwes,   Leigh Whannell,   Danny Glover,   Ken Leung  ,381097,56000000
    A Very Long Engagement  ,2004,R,133," Drama, Mystery, Romance            ",7.6,76,    Jean-Pierre Jeunet  ,      Audrey Tautou,   Gaspard Ulliel,   Jodie Foster,   Dominique Pinon  ,71128,6170000
    The Bar arian Invasions  ,2003,R,99," Comedy, Crime, Drama            ",7.6,70,    Denys Arcand  ,      Rmy Girard,   Dorothe Berryman,   Stphane Rousseau,   Marie-Jose Croze  ,28356,3430000
    The Others  ,2001,PG-13,104," Horror, Mystery, Thriller            ",7.6,74,    Alejandro Amen ar  ,      Nicole Kidman,   Christopher Eccleston,   Fionnula Flanagan,   Alakina Mann  ,339701,96520000
    Minority Report  ,2002,PG-13,145," Action, Crime, Mystery            ",7.6,80,    Steven Spiel erg  ,      Tom Cruise,   Colin Farrell,   Samantha Morton,   Max von Sydow  ,511112,132070000
    The Lighthouse  ,2019,R,109," Drama, Fantasy, Horror            ",7.5,83,    Ro ert Eggers  ,      Ro ert Pattinson,   Willem Dafoe,   Valeriia Karaman,   Logan Hawkes  ,147732,430000
    Burning  ,2018,Not Rated,148," Drama, Mystery            ",7.5,90,    Chang-dong Lee  ,      Yoo Ah-In,   Steven Yeun,   Jong-seo Jun,   Soo-Kyung Kim  ,50858,720000
    The Wailing  ,2016,TV-MA,156," Horror, Mystery, Thriller            ",7.5,81,    Hong-jin Na  ,      Jun Kunimura,   Hwang Jung-min,   Do-won Kwak,   Woo-hee Chun  ,52991,0
    The Hunger Games: Catching Fire  ,2013,PG-13,146," Action, Adventure, Mystery            ",7.5,76,    Francis Lawrence  ,      Jennifer Lawrence,   Josh Hutcherson,   Liam Hemsworth,   Philip Seymour Hoffman  ,616647,424670000
    Sherlock Holmes: A Game of Shadows  ,2011,PG-13,129," Action, Adventure, Mystery            ",7.5,0,    Guy Ritchie  ,      Ro ert Downey Jr.,   Jude Law,   Jared Harris,   Rachel McAdams  ,422726,186850000
    The Conjuring  ,2013,R,112," Horror, Mystery, Thriller            ",7.5,68,    James Wan  ,      Patrick Wilson,   Vera Farmiga,   Ron Livingston,   Lili Taylor  ,445373,137400000
    We Need to Talk A out Kevin  ,2011,R,112," Drama, Mystery, Thriller            ",7.5,68,    Lynne Ramsay  ,      Tilda Swinton,   John C. Reilly,   Ezra Miller,   Jasper Newell  ,139304,1740000
    Hugo  ,2011,PG,126," Drama, Family, Fantasy            ",7.5,83,    Martin Scorsese  ,      Asa Butterfield,   Chlo Grace Moretz,   Christopher Lee,   Ben Kingsley  ,306618,73860000
    Source Code  ,2011,PG-13,93," Action, Drama, Mystery            ",7.5,74,    Duncan Jones  ,      Jake Gyllenhaal,   Michelle Monaghan,   Vera Farmiga,   Jeffrey Wright  ,487201,54710000
    Dou t  ,2008,PG-13,104," Drama, Mystery            ",7.5,68,    John Patrick Shanley  ,      Meryl Streep,   Philip Seymour Hoffman,   Amy Adams,   Viola Davis  ,122422,33420000
    Harry Potter and the Order of the Phoenix  ,2007,PG-13,138," Action, Adventure, Family            ",7.5,71,    David Yates  ,      Daniel Radcliffe,   Emma Watson,   Rupert Grint,   Brendan Gleeson  ,515566,292000000
    Kiss Kiss Bang Bang  ,2005,R,103," Comedy, Crime, Mystery            ",7.5,72,    Shane Black  ,      Ro ert Downey Jr.,   Val Kilmer,   Michelle Monaghan,   Cor in Bernsen  ,215837,4240000
    Tell No One  ,2006,Not Rated,131," Crime, Drama, Mystery            ",7.5,82,    Guillaume Canet  ,      Franois Cluzet,   Marie-Jose Croze,   Andr Dussollier,   Kristin Scott Thomas  ,51178,6180000
    Palm Springs  ,2020,R,90," Comedy, Fantasy, Mystery            ",7.4,83,    Max Bar akow  ,      Andy Sam erg,   Cristin Milioti,   J.K. Simmons,   Peter Gallagher  ,89119,0
    Mirage  ,2018,TV-MA,128," Drama, Fantasy, Mystery            ",7.4,0,    Oriol Paulo  ,      Adriana Ugarte,   Chino Darn,   Javier Gutirrez,   lvaro Morte  ,43186,0
    I Origins  ,2014,R,106," Drama, Mystery, Romance            ",7.4,0,    Mike Cahill  ,      Michael Pitt,   Steven Yeun,   Astrid Bergs-Fris ey,   Brit Marling  ,116563,330000
    Calvary  ,2014,R,102," Comedy, Drama, Mystery            ",7.4,77,    John Michael McDonagh  ,         Brendan Gleeson,  Chris O    Dowd,     Kelly Reilly,     Aidan Gillen    ,56280,3590000
    In the House  ,2012,R,105," Drama, Mystery, Thriller            ",7.4,72,    Franois Ozon  ,      Fa rice Luchini,   Vincent Schmitt,   Ernst Umhauer,   Kristin Scott Thomas  ,30277,350000
    The Hidden Face  ,2011,R,97," Drama, Mystery, Thriller            ",7.4,0,    Andrs Baiz  ,      Quim Gutirrez,   Martina Garca,   Mara Soledad Rodrguez,   Jose Luis Garcia  ,38930,0
    Hunting Season  ,2010,0,140," Crime, Drama, Mystery            ",7.4,0,    Yavuz Turgul  ,      Sener Sen,   Cem Yilmaz,   etin Tekindor,   Melisa Szen  ,32111,0
    Cloud Atlas  ,2012,R,172," Action, Drama, Mystery            ",7.4,0,    Tom Tykwer   ,    Tom Hanks,   Halle Berry,   Hugh Grant,     ,345999,27110000
    REC  ,2007,R,78," Action, Adventure, Fantasy            ",7.4,69,    Jaume Balaguer   ,       Manuela Velasco,   Ferran Terraza,   Jorge-Yamam Serrano,   Pa lo Rosso    ,166406,0
    The Orphanage  ,2007,R,105," Drama, Fantasy, Horror            ",7.4,74,    J.A. Bayona  ,      Beln Rueda,   Fernando Cayo,   Roger Prncep,   Ma el Rivera  ,147480,7160000
    The Three Burials of Melquiades Estrada  ,2005,R,121," Adventure, Crime, Drama            ",7.4,77,    Tommy Lee Jones  ,      Tommy Lee Jones,   Barry Pepper,   Dwight Yoakam,   January Jones  ,38986,5020000
    The Constant Gardener  ,2005,R,129," Drama, Mystery, Romance            ",7.4,82,    Fernando Meirelles  ,      Ralph Fiennes,   Rachel Weisz,   Danny Huston,   Hu ert Kound  ,133435,33580000
    Wallace & Gromit: The Curse of the Were-Ra  it  ,2005,G,85," Animation, Adventure, Comedy            ",7.4,87,    Steve Box   ,       Peter Sallis,   Helena Bonham Carter,   Ralph Fiennes,   Peter Kay    ,126276,56110000
    Harry Potter and the Cham er of Secrets  ,2002,PG,161," Adventure, Family, Fantasy            ",7.4,63,    Chris Colum us  ,      Daniel Radcliffe,   Rupert Grint,   Emma Watson,   Richard Harris  ,559427,261990000
    Irreversi le  ,2002,Not Rated,97," Crime, Drama, Horror            ",7.4,0,    Gaspar No  ,      Monica Bellucci,   Vincent Cassel,   Al ert Dupontel,   Jo Prestia  ,121471,750000
    K-PAX  ,2001,PG-13,120," Drama, Mystery, Sci-Fi            ",7.4,0,    Iain Softley  ,      Kevin Spacey,   Jeff Bridges,   Mary McCormack,   Alfre Woodard  ,175616,50340000
    Hereditary  ,2018,R,127," Drama, Horror, Mystery            ",7.3,87,    Ari Aster  ,      Toni Collette,   Milly Shapiro,   Ga riel Byrne,   Alex Wolff  ,245402,44070000
    The Ballad of Buster Scruggs  ,2018,R,133," Comedy, Drama, Musical            ",7.3,79,    Ethan Coen   ,       Tim Blake Nelson,   Willie Watson,   Clancy Brown,   Danny McCarthy    ,124690,0
    Marshland  ,2014,TV-MA,105," Action, Crime, Drama            ",7.3,0,    Al erto Rodrguez  ,      Javier Gutirrez,   Ral Arvalo,   Mara Varod,   Perico Cervantes  ,30997,0
    The Conjuring 2  ,2016,R,134," Horror, Mystery, Thriller            ",7.3,65,    James Wan  ,         Vera Farmiga,     Patrick Wilson,     Madison Wolfe,  Frances O    Connor ,227721,102470000
    Now You See Me  ,2013,PG-13,115," Crime, Mystery, Thriller            ",7.3,0,    Louis Leterrier  ,      Jesse Eisen erg,   Common,   Mark Ruffalo,   Woody Harrelson  ,599741,117720000
    The Lincoln Lawyer  ,2011,R,118," Crime, Drama, Mystery            ",7.3,63,    Brad Furman  ,      Matthew McConaughey,   Marisa Tomei,   Ryan Phillippe,   William H. Macy  ,216424,58010000
    Ghajini  ,2008,Not Rated,186," Action, Drama, Mystery            ",7.3,0,    A.R. Murugadoss  ,      Aamir Khan,   Asin Thottumkal,   Jiah Khan,   Pradeep Singh Rawat  ,56712,2430000
    The Adventures of Tintin: The Secret of the Unicorn  ,2011,PG,107," Animation, Action, Adventure            ",7.3,68,    Steven Spiel erg  ,      Jamie Bell,   Andy Serkis,   Daniel Craig,   Simon Pegg  ,217615,77590000
    Brick  ,2005,R,110," Action, Crime, Drama            ",7.3,72,    Rian Johnson  ,      Joseph Gordon-Levitt,   Lukas Haas,   Emilie de Ravin,   Meagan Good  ,101449,2060000
    Cach  ,2005,R,117," Drama, Mystery, Thriller            ",7.3,83,    Michael Haneke  ,      Daniel Auteuil,   Juliette Binoche,   Maurice Bnichou,   Annie Girardot  ,74420,3630000
    Identity  ,2003,R,90," Mystery, Thriller            ",7.3,64,    James Mangold  ,      John Cusack,   Ray Liotta,   Amanda Peet,   John Hawkes  ,228780,52160000
    Un reaka le  ,2000,PG-13,106," Drama, Mystery, Sci-Fi            ",7.3,62,    M. Night Shyamalan  ,      Bruce Willis,   Samuel L. Jackson,   Ro in Wright,   Spencer Treat Clark  ,389193,95010000
    Frequency  ,2000,PG-13,118," Crime, Drama, Mystery            ",7.3,67,    Gregory Ho lit  ,      Dennis Quaid,   Jim Caviezel,   Shawn Doyle,   Eliza eth Mitchell  ,101759,45010000
    Coherence  ,2013,Not Rated,89," Drama, Horror, Mystery            ",7.2,65,    James Ward Byrkit  ,      Emily Baldoni,   Maury Sterling,   Nicholas Brendon,   Eliza eth Gracen  ,110741,70000
    Department Q: The Keeper of Lost Causes  ,2013,Not Rated,96," Crime, Drama, Mystery            ",7.2,62,    Mikkel Nrgaard  ,      Nikolaj Lie Kaas,   Per Scheel Krger,   Troels Ly y,   yvind B. Fa ricius Holm  ,26501,0
    Talaash  ,2012,Not Rated,140," Crime, Drama, Fantasy            ",7.2,65,    Reema Kagti   ,       Aamir Khan,   Kareena Kapoor,   Rani Mukerji,   Rajkummar Rao    ,39591,2710000
    The Girl Who Played with Fire  ,2009,R,129," Action, Crime, Drama            ",7.2,66,    Daniel Alfredson  ,      Noomi Rapace,   Michael Nyqvist,   Lena Endre,   Peter Andersson  ,91481,9080000
    10 Cloverfield Lane  ,2016,PG-13,103," Action, Drama, Horror            ",7.2,76,    Dan Trachten erg  ,      John Goodman,   Mary Eliza eth Winstead,   John Gallagher Jr.,   Douglas M. Griffin  ,292984,72080000
    The Ghost Writer  ,2010,PG-13,128," Crime, Drama, Mystery            ",7.2,77,    Roman Polanski  ,      Ewan McGregor,   Pierce Brosnan,   Olivia Williams,   Jon Bernthal  ,156867,15540000
    Timecrimes  ,2007,R,92," Horror, Mystery, Sci-Fi            ",7.2,68,    Nacho Vigalondo  ,      Karra Elejalde,   Candela Fernndez,   Br ara Goenaga,   Nacho Vigalondo  ,58891,40000
    Michael Clayton  ,2007,R,119," Crime, Drama, Mystery            ",7.2,82,    Tony Gilroy  ,         George Clooney,     Tilda Swinton,     Tom Wilkinson,  Michael O    Keefe ,157028,49030000
    The Fountain  ,2006,PG-13,97," Drama, Mystery, Romance            ",7.2,0,    Darren Aronofsky  ,      Hugh Jackman,   Rachel Weisz,   Sean Patrick Thomas,   Ellen Burstyn  ,229221,10140000
    Broken Flowers  ,2005,R,106," Comedy, Drama, Mystery            ",7.2,79,    Jim Jarmusch  ,      Bill Murray,   Jessica Lange,   Sharon Stone,   Julie Delpy  ,98702,13740000
    Final Fantasy VII: Advent Children  ,2005,PG-13,101," Animation, Action, Adventure            ",7.2,0,    Tetsuya Nomura   ,       Takahiro Sakurai,   Ayumi It,   Shtar Moriku o,   Maaya Sakamoto    ,55060,0
    A Tale of Two Sisters  ,2003,R,114," Drama, Horror, Mystery            ",7.2,65,    Jee-woon Kim  ,      Lim Soo-jung,   Jung-ah Yum,   Kim Kap-su,   Moon Geun-young  ,57118,0
    11:14  ,2003,R,86," Crime, Drama, Mystery            ",7.2,65,    Greg Marcks  ,      Henry Thomas,   Colin Hanks,   Ben Foster,   Patrick Swayze  ,45074,0
    Gosford Park  ,2001,R,131," Comedy, Drama, Mystery            ",7.2,90,    Ro ert Altman  ,      Maggie Smith,   Ryan Phillippe,   Michael Gam on,   Kristin Scott Thomas  ,80872,41310000
    Insomnia  ,2002,R,118," Drama, Mystery, Thriller            ",7.2,78,    Christopher Nolan  ,      Al Pacino,   Ro in Williams,   Hilary Swank,   Martin Donovan  ,276955,67360000
    Midsommar  ,2019,R,148," Drama, Horror, Mystery            ",7.1,72,    Ari Aster  ,      Florence Pugh,   Jack Reynor,   Vilhelm Blomgren,   William Jackson Harper  ,207483,27330000
    Bad Times at the El Royale  ,2018,R,141," Crime, Drama, Mystery            ",7.1,0,    Drew Goddard  ,      Jeff Bridges,   Cynthia Erivo,   Dakota Johnson,   Jon Hamm  ,130610,17840000
    First Reformed  ,2017,R,113," Drama, Mystery, Thriller            ",7.1,85,    Paul Schrader  ,      Ethan Hawke,   Amanda Seyfried,   Cedric the Entertainer,   Victoria Hill  ,48652,3450000
    Sicario: Day of the Soldado  ,2018,R,122," Action, Adventure, Crime            ",7.1,61,    Stefano Sollima  ,      Benicio Del Toro,   Josh Brolin,   Isa ela Merced,   Jeffrey Donovan  ,127118,50070000
    Julieta  ,2016,R,99," Drama, Mystery, Romance            ",7.1,73,    Pedro Almodvar  ,      Emma Surez,   Adriana Ugarte,   Daniel Grao,   Inma Cuesta  ,29211,1490000
    Side Effects  ,2013,R,106," Crime, Drama, Mystery            ",7.1,75,    Steven Soder ergh  ,      Rooney Mara,   Channing Tatum,   Jude Law,   Catherine Zeta-Jones  ,180843,32170000
    Brimstone  ,2016,R,148," Drama, Mystery, Thriller            ",7.1,0,    Martin Koolhoven  ,      Guy Pearce,   Dakota Fanning,   Emilia Jones,   Carice van Houten  ,36950,0
    Winter' s Bone  ,2010,R,100," Adventure, Drama, Mystery            ",7.1,90,    De ra Granik  ,      Jennifer Lawrence,   John Hawkes,   Garret Dillahunt,   Isaiah Stone  ,136527,6530000
    Tinker Tailor Soldier Spy  ,2011,R,122," Drama, Mystery, Thriller            ",7.1,85,    Tomas Alfredson  ,      Gary Oldman,   Colin Firth,   Tom Hardy,   Mark Strong  ,188724,24150000
    Let Me In  ,2010,R,116," Drama, Fantasy, Horror            ",7.1,79,    Matt Reeves  ,      Kodi Smit-McPhee,   Chlo Grace Moretz,   Richard Jenkins,   Cara Buono  ,114038,12130000
